frequency_mode,seed,K,sigma_omega,rho,max_delta,Lambda_K,eta,t_f_num,phi_bar_tf,T_eta_pred,T_eta_sim,relative_error,fast_threshold_reached,hitting_threshold_reached,locked_profile_residual,sphere_norm_error
gaussian,1,7.5,0.28,0.11488328956815783,0.8616246717611837,0.01048119476570634,0.82,0.0,0.85,5.7537030601112855,5.737322353013877,0.002855113603439756,True,True,7.216449660063518e-16,6.946453412481901e-10
gaussian,1,7.5,0.32,0.13129518807789467,0.98471391058421,0.013700955389177712,0.82,0.0,0.85,4.401567677879018,4.384768535303468,0.003831249572307632,True,True,3.3306690738754696e-16,8.693553654737229e-10
gaussian,1,7.5,0.36,0.14770708658763146,1.107803149407236,0.017356448711730324,0.82,0.0,0.8499999999999999,3.474540408505875,3.457297118686907,0.004987505911993214,True,True,4.440892098500626e-16,1.1655313381098154e-09
gaussian,1,9.0,0.2,0.06838291045723681,0.6154461941151312,0.004448624591167574,0.82,0.0,0.8499999999999999,13.556028646876467,13.543255983189816,0.0009431014006162358,True,True,4.9960036108132044e-15,5.482193587980078e-10
gaussian,1,9.0,0.24,0.08205949254868417,0.7385354329381575,0.006408676395636659,0.82,0.0,0.85,9.410005853646474,9.396991114935886,0.0013849899985434527,True,True,3.652633751016765e-14,5.897109467412065e-10
gaussian,1,9.0,0.28,0.09573607464013152,0.8616246717611837,0.00872720374588937,0.82,0.0,0.8499999999999999,6.910080726082684,6.896809550509476,0.0019242485204231346,True,True,2.220446049250313e-16,6.414923037212361e-10
gaussian,1,9.0,0.32,0.10941265673157889,0.98471391058421,0.011405267723124978,0.82,0.0,0.85,5.2875288735917145,5.273988436786596,0.0025673997900094517,True,True,3.608224830031759e-16,7.586087313882217e-10
gaussian,1,9.0,0.36,0.12308923882302622,1.107803149407236,0.014444100319224532,0.82,0.0,0.85,4.175108249338483,4.161284274154776,0.0033220453766077936,True,True,2.220446049250313e-16,9.632389330604951e-10
gaussian,1,10.5,0.2,0.05861392324906012,0.6154461941151312,0.003812154662312901,0.82,0.1364256480218281,0.8497127578591769,15.803783431246513,15.80851068408844,0.00029903214391245955,True,True,1.1102230246251565e-15,5.467823971372354e-10
gaussian,1,10.5,0.24,0.07033670789887214,0.7385354329381575,0.005491173520824368,0.82,0.0,0.8499999999999998,10.982294070359861,10.971316731370022,0.001000548909362181,True,True,7.549516567451064e-15,5.712723627482319e-10
gaussian,1,10.5,0.28,0.08205949254868417,0.8616246717611837,0.007476789128242781,0.82,0.0,0.85,8.065719303125537,8.054563983357179,0.0013849687942646962,True,True,4.3298697960381105e-14,6.194569301953834e-10
gaussian,1,10.5,0.32,0.09378227719849619,0.98471391058421,0.009769666306122488,0.82,0.0,0.85,6.172747410960636,6.161404510736408,0.0018409601584286762,True,True,4.718447854656915e-16,6.978253530576239e-10
gaussian,1,10.5,0.36,0.10550506184830818,1.107803149407236,0.012370575671227632,0.82,0.0,0.8499999999999999,4.874929348464357,4.863389970570761,0.0023727025723666666,True,True,4.440892098500626e-16,8.184317668025187e-10
gaussian,1,12.0,0.2,0.0512871828429276,0.6154461941151312,0.003335095129234305,0.82,0.1364256480218281,0.8497508819673661,18.067930584733787,18.07278158099209,0.0002684144793407936,True,True,4.440892098500626e-16,5.418282489344506e-10
